Party,Name,Constituency,ConstituencyVote,Constituency.,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,ConstituencyPercent,LeavePercent,SecondVote1,SecondVote2,SecondVote3,SecondVote4,PartyGroup,BetterLeavePercent
Lab,Stephen Kinnock,Aberavon,Leave,60,For,Abstain,For,For,Abstain,Against,Against,For,60,60,For,For,For,Abstain,Lab,0.5996545077
Con,Guto Bebb,Aberconwy,Leave,53,For,For,Against,Against,For,Against,Against,For,53,53,Against,For,For,For,Con,0.5338379841
SNP,Kirsty Blackman,Aberdeen North,Remain,57,Abstain,For,Abstain,Abstain,For,Against,Against,Against,57,43,Abstain,For,For,For,Other,0.4309975547
Con,Ross Thomson,Aberdeen South,Remain,68,Against,Against,Against,Against,Against,For,For,Against,68,32,Against,Against,Against,Against,Con,0.3232565417
SNP,Neil Gray,Airdrie and Shotts,Remain,60,Abstain,For,Abstain,Abstain,For,Against,Against,Against,60,40,Abstain,For,For,For,Other,0.4005130754
Con,Leo Docherty,Aldershot,Leave,58,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,58,58,Against,Against,Against,Against,Con,0.5789776574
Con,Wendy Morton,Aldridge Brownhills,Leave,68,Against,Against,Against,Against,Against,For,Against,Against,68,68,Against,Against,Against,Against,Con,0.6779634958
Con,Sir Graham Brady,Altrincham and Sale West,Remain,62,Against,Against,Against,Against,Against,Against,Against,Against,62,38,Against,Against,Against,Against,Con,0.3846870964
Lab,Mark Tami,Alyn and Deeside,Leave,58,For,For,For,Abstain,Abstain,Against,Against,Abstain,58,58,For,For,For,Abstain,Lab,0.5774788291
Con,Nigel Mills,Amber Valley,Leave,65,Against,Against,Against,Against,Against,For,For,Against,65,65,Against,Against,Against,Against,Con,0.6533921445
Con,Kirstene Hair,Angus,Remain,52,Against,Against,Against,Against,Against,Abstain,Abstain,Against,52,48,Against,Against,Against,Against,Con,0.4813276871
PC,Hywel Williams,Arfon,Remain,65,Abstain,For,Abstain,For,For,Against,Against,Abstain,65,35,Abstain,For,For,For,Other,0.3490749007
SNP,Brendan O'Hara,Argyll and Bute,Remain,61,Abstain,For,Abstain,Abstain,For,Against,Against,Against,61,39,Abstain,For,For,For,Other,0.3943239691
Con,Nick Herbert,Arundel and South Downs,Leave,51,For,Against,Against,For,Against,Against,Against,For,51,51,For,Against,For,Against,Con,0.5068538363
Lab,Gloria De Piero,Ashfield,Leave,71,For,Abstain,For,For,Abstain,Against,Against,Abstain,71,71,For,Abstain,For,Abstain,Lab,0.7057585002
Con,Damian Green,Ashford,Leave,60,For,Against,Against,Against,Against,Against,Abstain,For,60,60,For,Against,Against,Against,Con,0.596788819
Lab,Angela Rayner,Ashton under Lyne,Leave,62,For,For,For,For,Abstain,Against,Against,Abstain,62,62,For,For,For,Abstain,Lab,0.6180980255
Con,David Lidington,Aylesbury,Leave,52,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,52,52,Abstain,Abstain,Abstain,Abstain,Con,0.5210161337
Con,Bill Grant,Ayr Carrick and Cumnock,Remain,57,Against,Against,Against,Against,Against,Against,Against,For,57,43,Against,Against,For,Against,Con,0.4298681805
Con,Victoria Prentis,Banbury,Leave,51,Against,Against,Against,Abstain,Against,Against,Against,For,51,51,For,Against,Abstain,Against,Con,0.5053589533
Con,David Duguid,Banff and Buchan,Leave,54,Against,Against,Against,Against,Against,Against,Against,For,54,54,Against,Against,Against,Against,Con,0.5401840179
Lab,Dame Margaret Hodge,Barking,Leave,60,For,For,For,Abstain,For,Against,Against,Against,60,60,For,For,Abstain,For,Lab,0.6033002338
Lab,Dan Jarvis,Barnsley Central,Leave,68,For,Against,For,For,Abstain,Against,Against,Abstain,68,68,For,Against,For,Abstain,Lab,0.6837815879
Lab,Stephanie Peacock,Barnsley East,Leave,71,For,Against,For,For,Abstain,Against,Against,Abstain,71,71,For,Against,For,Abstain,Lab,0.7077794137
Ind,John Woodcock,Barrow and Furness,Leave,57,Abstain,For,Against,Abstain,For,Against,Against,Against,57,57,Abstain,For,Abstain,For,Other,0.5678741119
Con,John Baron,Basildon and Billericay,Leave,67,Against,Against,Against,Against,Against,For,Abstain,Against,67,67,Against,Against,Against,Against,Con,0.669165671
Con,Maria Miller,Basingstoke,Leave,54,Against,Against,Against,Against,Against,For,For,Against,54,54,Against,Against,Against,Against,Con,0.5364191295
Lab,John Mann,Bassetlaw,Leave,68,Against,Against,For,Against,Against,Against,Against,Against,68,68,Against,Against,Against,Against,Lab,0.6832485971
LD,Wera Hobhouse,Bath,Remain,68,Against,For,Against,Against,For,Against,Against,Against,68,32,Against,For,Against,For,Other,0.3169279409
Lab,Tracy Brabin,Batley and Spen,Leave,60,For,Abstain,For,For,Abstain,Against,Against,Abstain,60,60,For,For,For,Abstain,Lab,0.6035245428
Lab,Marsha De Cordova,Battersea,Remain,77,For,For,For,Abstain,For,Against,Against,Against,77,23,For,For,For,For,Lab,0.2303755679
Con,Dominic Grieve,Beaconsfield,Remain,51,Abstain,For,Against,Abstain,For,Against,Against,Against,51,49,Abstain,For,Abstain,For,Con,0.4929742327
Con,Bob Stewart,Beckenham,Remain,52,Against,Against,Against,Against,Against,For,For,Against,52,48,Against,Against,Against,Against,Con,0.4838170491
Lab,Mohammad Yasin,Bedford,Leave,52,For,For,For,For,For,Against,Against,Against,52,52,For,For,For,For,Lab,0.5194916653
Lab,Neil Coyle,Bermondsey and Old Southwark,Remain,73,For,For,For,Against,For,Against,Against,Against,73,27,For,For,For,For,Lab,0.2700401192
Con,Anne-Marie Trevelyan,Berwick upon Tweed,Leave,56,Against,Against,Against,Against,Against,For,For,Against,56,56,Against,Against,Against,Against,Con,0.5555173308
Con,John Lamont,Berwickshire Roxburgh and Selkirk,Remain,57,Against,Against,Against,Against,Against,Abstain,Abstain,Against,57,43,Against,Against,Against,Against,Con,0.4320071997
Lab,Rushanara Ali,Bethnal Green and Bow,Remain,69,For,For,For,For,For,Against,Against,Against,69,31,For,For,For,For,Lab,0.3093190508
Con,Graham Stuart,Beverley and Holderness,Leave,59,Against,Against,Against,Against,Against,For,For,Against,59,59,Against,Against,Against,Against,Con,0.5878960886
Con,Huw Merriman,Bexhill and Battle,Leave,58,Against,For,Against,Against,Against,For,Against,Against,58,58,Against,For,Against,Against,Con,0.5767643982
Con,Sir David Evennett,Bexleyheath and Crayford,Leave,65,Against,Against,Against,Against,Against,Abstain,Against,Against,65,65,Against,Against,Against,Against,Con,0.6504957583
Ind,Frank Field,Birkenhead,Leave,52,Against,Against,Against,Against,Against,Against,Against,Against,52,52,For,Against,Against,Against,Other,0.517076065
Lab,Preet Kaur Gill,Birmingham Edgbaston,Remain,53,For,For,For,Abstain,For,Against,Against,Abstain,53,47,For,For,For,For,Lab,0.4734707048
Lab,Jack Dromey,Birmingham Erdington,Leave,63,For,For,For,For,Abstain,Against,Against,Against,63,63,For,For,For,Abstain,Lab,0.6297289172
Lab,Roger Godsiff,Birmingham Hall Green,Remain,66,For,For,For,For,For,Against,Against,Against,66,34,For,For,For,For,Lab,0.3356875091
Lab,Liam Byrne,Birmingham Hodge Hill,Leave,51,For,For,For,For,Abstain,Against,Against,Abstain,51,51,For,For,For,Abstain,Lab,0.5148416727
Lab,Shabana Mahmood,Birmingham Ladywood,Remain,64,For,For,For,For,For,Against,Against,Against,64,36,For,For,For,For,Lab,0.3562267156
Lab,Richard Burden,Birmingham Northfield,Leave,62,For,For,For,For,Abstain,Against,Against,Against,62,62,For,For,For,For,Lab,0.617882451
Lab,Khalid Mahmood,Birmingham Perry Barr,Leave,51,For,For,For,For,Abstain,Against,Against,Abstain,51,51,For,For,For,Abstain,Lab,0.5121731706
Lab,Steve McCabe,Birmingham Selly Oak,Remain,53,For,For,For,For,Abstain,Against,Against,Abstain,53,47,For,For,For,For,Lab,0.4690743133
Lab,Jess Phillips,Birmingham Yardley,Leave,60,For,For,For,For,For,Against,Against,Against,60,60,For,For,For,For,Lab,0.6009480763
Lab,Helen Goodman,Bishop Auckland,Leave,61,For,For,For,For,Abstain,Against,Against,Against,61,61,For,For,For,For,Lab,0.6062241442
Lab,Kate Hollern,Blackburn,Leave,54,For,For,For,For,Abstain,Abstain,Abstain,Abstain,54,54,For,For,For,Abstain,Lab,0.5372925725
Lab,Graham Stringer,Blackley and Broughton,Leave,51,Against,Against,Abstain,Against,Against,Abstain,For,Against,51,51,Against,Against,Against,Against,Lab,0.5133290917
Con,Paul Maynard,Blackpool North and Cleveleys,Leave,67,Against,Against,Against,Against,Against,For,For,Against,67,67,Against,Against,Against,Against,Con,0.6685365381
Lab,Gordon Marsden,Blackpool South,Leave,68,For,For,For,For,Against,Against,Against,Against,68,68,For,For,For,Abstain,Lab,0.6780391362
Lab,Nick Smith,Blaenau Gwent,Leave,62,For,For,For,Abstain,Abstain,Against,Against,Abstain,62,62,For,For,For,Abstain,Lab,0.6202804437
Lab,Liz Twist,Blaydon,Leave,56,For,For,For,For,Abstain,Against,Against,Abstain,56,56,For,For,For,Abstain,Lab,0.5631875632
Lab,Ronnie Campbell,Blyth Valley,Leave,60,Against,Against,Against,Against,Against,For,Against,For,60,60,Against,Against,Against,Against,Lab,0.5988035794
Con,Nick Gibb,Bognor Regis and Littlehampton,Leave,64,Against,Against,Against,Abstain,Against,Abstain,Against,Abstain,64,64,Against,Against,Against,Against,Con,0.6422377605
Lab,Dennis Skinner,Bolsover,Leave,70,Against,Against,For,Against,Against,For,Against,For,70,70,For,For,Abstain,Abstain,Lab,0.7027221264
Lab,Sir David Crausby,Bolton North East,Leave,58,For,For,For,For,For,Against,Against,Against,58,58,For,For,For,Abstain,Lab,0.5776723522
Lab,Yasmin Qureshi,Bolton South East,Leave,63,For,For,For,For,Abstain,Against,Against,Abstain,63,63,For,For,For,Abstain,Lab,0.6342168192
Con,Chris Green,Bolton West,Leave,56,Against,Against,Against,Against,Against,For,For,Against,56,56,Against,Against,Against,Against,Con,0.5553871533
Lab,Peter Dowd,Bootle,Leave,55,For,For,For,For,Abstain,Against,Against,Abstain,55,55,For,For,For,Abstain,Lab,0.5487643903
Con,Matt Warman,Boston and Skegness,Leave,75,Against,Against,Against,Against,Against,For,Against,Against,75,75,Against,Against,Against,Against,Con,0.7496077813
Con,David Tredinnick,Bosworth,Leave,61,Against,Against,Against,For,Against,Against,Against,For,61,61,Against,Against,For,Against,Con,0.6079730392
Con,Tobias Ellwood,Bournemouth East,Leave,54,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,54,54,For,Against,Against,Against,Con,0.5350713031
Con,Conor Burns,Bournemouth West,Leave,58,Against,Against,Against,Against,Against,For,For,Against,58,58,Against,Against,Against,Against,Con,0.5789926072
Con,Phillip Lee,Bracknell,Leave,53,Against,For,Against,Against,For,Against,Against,Against,53,53,Against,For,Against,For,Con,0.5325104196
Lab,Imran Hussain,Bradford East,Leave,55,For,For,For,For,Abstain,Against,Against,Abstain,55,55,For,For,For,Abstain,Lab,0.5515782934
Lab,Judith Cummins,Bradford South,Leave,64,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,64,64,For,Abstain,For,Abstain,Lab,0.6356121775
Lab,Naz Shah,Bradford West,Remain,53,For,For,For,For,Abstain,Against,Against,Abstain,53,47,For,For,For,Abstain,Lab,0.4674085444
Con,James Cleverly,Braintree,Leave,61,Against,Against,Against,Against,Against,Abstain,Against,Against,61,61,Against,Against,Against,Against,Con,0.614274471
Con,Chris Davies,Brecon and Radnorshire,Leave,52,Against,Against,Against,Against,Against,For,For,For,52,52,Against,Against,Against,Against,Con,0.5172431786
Lab,Dawn Butler,Brent Central,Remain,57,For,For,For,Abstain,Abstain,Against,Against,Against,57,43,For,For,For,Abstain,Lab,0.4292455493
Lab,Barry Gardiner,Brent North,Remain,57,For,For,For,Abstain,Abstain,Against,Against,Abstain,57,43,For,For,For,Abstain,Lab,0.4309235831
Lab,Ruth Cadbury,Brentford and Isleworth,Remain,57,For,For,For,Against,For,Against,Against,Against,57,43,For,For,For,For,Lab,0.4330890315
Con,Alex Burghart,Brentwood and Ongar,Leave,61,Against,Against,Against,Against,Against,Abstain,Abstain,Against,61,61,Against,Against,Against,Against,Con,0.608936703
Lab,Madeleine Moon,Bridgend,Remain,50,For,For,For,Against,For,Against,Against,Against,50,50,For,For,Abstain,For,Lab,0.496508306
Con,Ian Liddell-Grainger,Bridgwater and West Somerset,Leave,62,Against,Against,Against,Against,Against,For,Against,Against,62,62,Against,Against,Against,Against,Con,0.6219046456
Con,Andrew Percy,Brigg and Goole,Leave,66,Against,Against,Against,For,Against,For,For,For,66,66,Against,Against,For,Against,Con,0.6620507891
Lab,Lloyd Russell-Moyle,Brighton Kemptown,Remain,57,For,For,For,Against,For,Against,Against,Against,57,43,For,For,For,For,Lab,0.4342993775
Grn,Caroline Lucas,Brighton Pavilion,Remain,74,Against,For,Against,Against,For,Against,Against,Against,74,26,Against,For,Against,For,Other,0.2567763142
Lab,Kerry McCarthy,Bristol East,Remain,53,For,For,For,Against,For,Against,Against,Against,53,47,For,For,Abstain,For,Lab,0.4679527183
Lab,Darren Jones,Bristol North West,Remain,61,For,For,For,Abstain,For,Against,Against,Against,61,39,For,For,Abstain,For,Lab,0.3885281199
Lab,Karin Smyth,Bristol South,Remain,52,For,For,For,For,For,Against,Against,Against,52,48,For,For,For,For,Lab,0.4795283789
Lab,Thangam Debbonaire,Bristol West,Remain,79,For,For,For,For,For,Against,Against,Abstain,79,21,For,For,For,For,Lab,0.2071150843
Con,Keith Simpson,Broadland,Leave,54,Against,Against,Against,Against,Against,Against,Against,Against,54,54,Against,Against,Against,Against,Con,0.5406077153
Con,Robert Neill,Bromley and Chislehurst,Remain,50,For,Against,Against,For,Against,Against,Against,For,50,50,For,Abstain,Abstain,Against,Con,0.4982886934
Con,Sajid Javid,Bromsgrove,Leave,55,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,55,55,Abstain,Abstain,Abstain,Abstain,Con,0.5536512794
Con,Charles Walker,Broxbourne,Leave,66,Against,Against,Against,Against,Against,Against,Against,Against,66,66,Against,Against,Against,Against,Con,0.6581793055
TIG,Anna Soubry,Broxtowe,Leave,52,Against,For,Against,Against,For,Against,Against,Against,52,52,Against,For,Against,For,Other,0.5241484493
Oth,John Bercow,Buckingham,Remain,51,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,51,49,Abstain,Abstain,Abstain,Abstain,Other,0.486547127
Lab,Julie Cooper,Burnley,Leave,67,For,Abstain,For,For,Abstain,Against,Against,Abstain,67,67,For,Abstain,For,Abstain,Lab,0.6661279897
Con,Andrew Griffiths,Burton,Leave,65,Against,Against,Against,Against,Against,For,Against,Against,65,65,Against,Against,Against,Against,Con,0.6462413639
Lab,James Frith,Bury North,Leave,54,For,For,For,For,For,Against,Against,Abstain,54,54,For,For,For,For,Lab,0.536593443
Ind,Ivan Lewis,Bury South,Leave,55,For,Against,For,For,Abstain,Against,Against,Against,55,55,For,Against,For,Against,Other,0.5452602877
Con,Jo Churchill,Bury St Edmunds,Leave,54,Against,Against,Against,Against,Against,Against,Against,Against,54,54,Against,Against,Against,Against,Con,0.5373851606
Lab,Wayne David,Caerphilly,Leave,55,For,For,For,For,Abstain,Against,Against,Abstain,55,55,For,For,For,Abstain,Lab,0.5515760503
LD,Jamie Stone,Caithness Sutherland and Easter ,Remain,51,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain,51,49,Abstain,For,Abstain,For,Other,0.4943534937
Con,Craig Whittaker,Calder Valley,Leave,53,Against,Against,Against,Against,Against,For,Against,Against,53,53,Against,Against,Against,Against,Con,0.5316421306
Lab,Harriet Harman,Camberwell and Peckham,Remain,70,For,For,For,For,For,Against,Against,Against,70,30,For,For,For,For,Lab,0.3019691475
Con,George Eustice,Camborne and Redruth,Leave,58,Against,Against,Against,For,Against,For,For,For,58,58,Against,Against,For,Against,Con,0.5791059617
Lab,Daniel Zeichner,Cambridge,Remain,74,Abstain,For,Abstain,Against,For,Against,Against,Against,74,26,Abstain,For,Against,For,Lab,0.262252731
Con,Amanda Milling,Cannock Chase,Leave,69,Against,Against,Against,Against,Against,For,Abstain,Against,69,69,Against,Against,Against,Against,Con,0.6886035313
Lab,Rosie Duffield,Canterbury,Remain,55,For,For,For,Abstain,For,Against,Against,Against,55,45,For,For,Abstain,For,Lab,0.4534039729
Lab,Jo Stevens,Cardiff Central,Remain,70,Abstain,For,Abstain,Against,For,Against,Against,Against,70,30,Against,For,Against,For,Lab,0.3035441463
Lab,Anna McMorrin,Cardiff North,Remain,61,Against,For,For,Against,For,Against,Against,Against,61,39,Against,For,Against,For,Lab,0.3908054342
Lab,Stephen Doughty,Cardiff South and Penarth,Remain,55,For,For,For,Abstain,For,Against,Against,Against,55,45,For,For,Abstain,For,Lab,0.4493568723
Lab,Kevin Brennan,Cardiff West,Remain,55,For,For,For,For,For,Against,Against,Abstain,55,45,For,For,For,For,Lab,0.4483702206
Con,John Stevenson,Carlisle,Leave,60,Against,Against,Against,For,Against,Abstain,Against,For,60,60,Against,Against,For,Against,Con,0.6048799932
PC,Jonathan Edwards,Carmarthen East and Dinefwr,Leave,54,Abstain,For,Abstain,For,For,Against,Against,Abstain,54,54,Abstain,For,For,For,Other,0.5376553474
Con,Simon Hart,Carmarthen West and South Pembro ,Leave,55,Against,Against,Against,For,Against,Abstain,Abstain,For,55,55,Against,Against,For,Against,Con,0.5536619483
LD,Tom Brake,Carshalton and Wallington,Leave,56,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain,56,56,Against,For,Against,For,Other,0.5630242446
Con,Rebecca Harris,Castle Point,Leave,73,Against,Against,Against,Against,Against,For,For,Against,73,73,Against,Against,Against,Against,Con,0.7269939242
SNP,Philippa Whitford,Central Ayrshire,Remain,57,Abstain,For,Abstain,Abstain,For,Against,Against,Against,57,43,Abstain,For,For,For,Other,0.4272058174
Con,Mel Stride,Central Devon,Leave,51,Against,Against,Against,Against,Against,Against,Against,Against,51,51,Against,Against,Against,Against,Con,0.5117887205
Con,Dan Poulter,Central Suffolk and North Ipswich,Leave,54,Against,Against,Against,Against,Against,For,Against,For,54,54,Against,Against,Against,Against,Con,0.5448855513
PC,Ben Lake,Ceredigion,Remain,55,Abstain,For,Abstain,For,For,Against,Against,Abstain,55,45,Abstain,For,For,For,Other,0.4537013739
Con,Edward Argar,Charnwood,Leave,58,Against,Against,Against,Against,Against,Abstain,Against,Against,58,58,Against,Against,Against,Against,Con,0.5829449052
Con,Tracey Crouch,Chatham and Aylesford,Leave,65,Against,Against,Against,Against,Against,For,Abstain,Against,65,65,Against,Against,Against,Against,Con,0.6474851595
Con,Mary Robinson,Cheadle,Remain,57,Against,Against,Against,Against,Against,Against,Against,Against,57,43,Against,Against,Against,Against,Con,0.4265303264
Con,Vicky Ford,Chelmsford,Leave,51,For,Against,Against,For,Against,Against,Against,Abstain,51,51,For,Against,Against,Against,Con,0.5054572553
Con,Greg Hands,Chelsea and Fulham,Remain,71,Against,Against,Against,Against,Against,Against,Abstain,Against,71,29,Against,Against,Against,Against,Con,0.2921402094
Con,Alex Chalk,Cheltenham,Remain,57,For,Abstain,Against,Against,Abstain,Against,Against,Against,57,43,For,Abstain,Against,Abstain,Con,0.4278241767
Con,Dame Cheryl Gillan,Chesham and Amersham,Remain,55,Against,Against,Against,Against,Against,Against,Against,Against,55,45,Against,Against,Against,Against,Con,0.4498498396
Lab,Toby Perkins,Chesterfield,Leave,59,For,For,For,For,Against,Against,Against,Against,59,59,For,For,Abstain,Against,Lab,0.593187532
Con,Gillian Keegan,Chichester,Leave,51,Against,Against,Against,Against,Against,Against,Against,Abstain,51,51,Abstain,Against,Against,Against,Con,0.5064288139
Con,Iain Duncan Smith,Chingford and Woodford Green,Remain,51,Against,Against,Against,Against,Against,For,For,Against,51,49,Against,Against,Against,Against,Con,0.4920964123
Con,Michelle Donelan,Chippenham,Leave,52,Against,Against,Against,Against,Against,Abstain,For,Against,52,52,Against,Against,Against,Against,Con,0.5232609827
Con,Theresa Villiers,Chipping Barnet,Remain,59,Against,Against,Against,Against,Against,Abstain,For,Against,59,41,Against,Against,Against,Against,Con,0.4092972926
Lab,Sir Lindsay Hoyle,Chorley,Leave,57,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,57,57,Abstain,Abstain,Abstain,Abstain,Lab,0.565742818
Con,Sir Christopher Chope,Christchurch,Leave,60,Against,Against,Against,Against,Against,For,For,Against,60,60,Against,Against,Against,Against,Con,0.5987484443
Con,Mark Field,Cities of London and Westminster,Remain,71,For,Abstain,Against,Against,For,Against,For,Against,71,29,For,Abstain,Abstain,For,Con,0.286318407
Lab,Christian Matheson,City of Chester,Remain,57,For,For,For,Against,For,Against,Against,Against,57,43,For,For,For,For,Lab,0.4271304058
Lab,Roberta Blackman-Woods,City of Durham,Remain,56,For,For,For,For,For,Against,Against,Abstain,56,44,For,For,For,For,Lab,0.4435008497
Con,Giles Watling,Clacton,Leave,71,Against,Against,Against,Against,Against,For,For,Against,71,71,Against,Against,Against,Against,Con,0.7107657381
Con,Martin Vickers,Cleethorpes,Leave,68,Against,Against,Against,Against,Against,For,Against,Against,68,68,Against,Against,Against,Against,Con,0.6841059823
Lab,Susan Elan Jones,Clwyd South,Leave,60,For,For,For,Abstain,For,Against,Against,Against,60,60,For,For,Abstain,For,Lab,0.6025820136
Con,David Jones,Clwyd West,Leave,53,Against,Against,Against,Against,Against,For,For,Against,53,53,Against,Against,Against,Against,Con,0.5253250436
Lab,Hugh Gaffney,Coatbridge Chryston and Bellshill,Remain,61,For,For,For,For,For,Against,Against,Abstain,61,39,For,For,For,For,Lab,0.3872332567
Con,Will Quince,Colchester,Leave,51,Against,Against,Against,Against,Against,For,For,Against,51,51,Against,Against,Against,Against,Con,0.5106418001
Lab,Thelma Walker,Colne Valley,Remain,50,For,For,For,Against,For,Against,Against,Against,50,50,For,For,Abstain,For,Lab,0.4982459592
Con,Fiona Bruce,Congleton,Leave,53,Against,Against,Against,Against,Against,For,For,Against,53,53,Against,Against,Against,Against,Con,0.5265409394
Con,Trudy Harrison,Copeland,Leave,60,Against,Against,Against,Against,Against,For,Against,For,60,60,Against,Against,Against,Against,Con,0.5984604808
Con,Tom Pursglove,Corby,Leave,60,Against,Against,Against,Against,Against,For,For,Against,60,60,Against,Against,Against,Against,Con,0.60114346
Lab,Colleen Fletcher,Coventry North East,Leave,59,For,For,For,For,Abstain,Against,Against,Abstain,59,59,For,For,For,Abstain,Lab,0.5922586701
Lab,Geoffrey Robinson,Coventry North West,Leave,59,For,For,For,For,Against,Against,Against,Abstain,59,59,For,For,For,Abstain,Lab,0.5867347043
Lab,Jim Cunningham,Coventry South,Remain,51,Against,For,For,For,Against,Against,Against,Against,51,49,For,For,For,Abstain,Lab,0.4890117797
Con,Henry Smith,Crawley,Leave,58,Against,Against,Against,Against,Against,For,For,Against,58,58,Against,Against,Against,Against,Con,0.584136714
Lab,Laura Smith,Crewe and Nantwich,Leave,59,For,Against,For,Against,Abstain,Against,Against,Against,59,59,For,Against,Against,Abstain,Lab,0.5900216001
Lab,Sarah Jones,Croydon Central,Leave,50,For,For,For,For,For,Against,Against,Abstain,50,50,For,For,For,For,Lab,0.5031024069
Lab,Steve Reed,Croydon North,Remain,59,For,For,For,For,For,Against,Against,Abstain,59,41,For,For,For,For,Lab,0.4116806604
Con,Chris Philp,Croydon South,Remain,54,Against,Against,Against,Against,Against,Abstain,For,Against,54,46,Against,Against,Against,Against,Con,0.4580567492
SNP,Stuart C. McDonald,Cumbernauld Kilsyth and Kirkint ,Remain,62,Abstain,For,Abstain,Abstain,For,Against,Against,Against,62,38,Abstain,For,For,For,Other,0.3790899259
Lab,Ann Clwyd,Cynon Valley,Leave,57,Against,For,Against,Against,For,Against,Against,Against,57,57,For,For,Abstain,For,Lab,0.5696266259
Lab,Jon Cruddas,Dagenham and Rainham,Leave,70,For,Against,For,For,Against,Against,Against,Abstain,70,70,For,Against,For,Against,Lab,0.6992601589
Lab,Jenny Chapman,Darlington,Leave,58,For,For,For,For,Abstain,Against,Against,Abstain,58,58,For,For,For,Abstain,Lab,0.5806846735
Con,Gareth Johnson,Dartford,Leave,64,Against,Against,Against,Against,Against,For,For,Against,64,64,Against,Against,Against,Against,Con,0.6403580012
Con,Chris Heaton-Harris,Daventry,Leave,59,Against,Against,Against,Against,Against,For,Against,Against,59,59,Against,Against,Against,Against,Con,0.5875854112
Lab,David Hanson,Delyn,Leave,55,For,For,For,For,Abstain,Against,Against,Against,55,55,For,For,For,Abstain,Lab,0.5477104
